riskhater_wealth,riskhater_creturns,naive_wealth,naive_creturns,markowitzsavvy1_wealth,markowitzsavvy1_creturns,markowitzsavvy2_wealth,markowitzsavvy2_creturns,markowitzsavvy3_wealth,markowitzsavvy3_creturns
1,0,1,0,1,0,1,0,1,0
1.00011,0.00011152,1.0086,0.0085974,1.00011,0.00011152,1.00011,0.00011152,1.00011,0.00011152
1.00022,0.000223052,1.00534,0.00533602,1.00022,0.000223052,1.00022,0.000223052,1.00022,0.000223052
1.00034,0.00033614,1.01347,0.0134713,1.00034,0.00033614,1.00034,0.00033614,1.00034,0.00033614
1.00045,0.000450013,1.02147,0.0214736,1.00045,0.000450013,1.00045,0.000450013,1.00045,0.000450013
1.00056,0.000563899,0.988275,-0.0117247,1.00056,0.000563899,1.00056,0.000563899,1.00056,0.000563899
1.00068,0.000677025,0.959656,-0.0403443,1.00068,0.000677025,1.00068,0.000677025,1.00068,0.000677025
1.00079,0.000789007,0.966918,-0.0330817,1.00079,0.000789007,1.00079,0.000789007,1.00079,0.000789007
1.0009,0.000899456,0.943282,-0.0567184,1.0009,0.000899456,1.0009,0.000899456,1.0009,0.000899456
1.00101,0.00100799,0.928355,-0.0716455,1.00101,0.00100799,1.00101,0.00100799,1.00101,0.00100799
1.00112,0.0011173,0.907954,-0.0920457,1.00112,0.0011173,1.00112,0.0011173,1.00112,0.0011173
1.00123,0.00122663,0.883362,-0.116638,1.00123,0.00122663,1.00123,0.00122663,1.00123,0.00122663
1.00133,0.00133403,0.920111,-0.0798892,1.00133,0.00133403,1.00133,0.00133403,1.00133,0.00133403
1.00144,0.00144415,0.928531,-0.0714691,1.00144,0.00144415,1.00144,0.00144415,1.00144,0.00144415
1.00155,0.00155274,0.931176,-0.0688243,1.00155,0.00155274,1.00155,0.00155274,1.00155,0.00155274
1.00166,0.00165941,0.945908,-0.0540917,1.00166,0.00165941,1.00166,0.00165941,1.00166,0.00165941
1.00176,0.00176492,0.938784,-0.0612163,1.00176,0.00176492,1.00176,0.00176492,1.00176,0.00176492
